,Temperatura Media (C),Temperatura Minima (C),Temperatura Maxima (C),Precipitacao (mm),Final de Semana,Consumo de cerveja (litros)
50,24.72,21.7,28.2,0.0,0,24.566999999999997
51,25.2,21.4,31.1,0.0,1,30.943
52,24.44,20.4,30.8,0.0,1,30.825
53,25.4,20.7,31.4,0.0,0,25.691999999999997
54,24.3,20.5,31.9,0.0,0,26.959
55,22.24,19.3,29.3,2.0,0,25.366
56,24.1,19.2,30.3,34.4,0,22.784000000000002
57,24.64,20.4,31.4,0.6,0,26.241
58,22.4,19.7,27.7,0.0,1,26.467
59,21.26,18.2,26.3,3.0,1,27.475
60,22.16,17.2,29.2,0.0,0,28.749000000000002
61,23.16,19.5,29.5,0.0,0,24.146
62,23.68,18.9,30.5,0.0,0,22.988000000000003
63,24.42,19.7,31.6,0.0,0,30.3
64,22.6,19.4,28.5,0.0,0,22.654
65,21.92,19.4,26.6,38.2,1,29.09
66,22.2,19.7,24.4,69.2,1,24.619
67,21.36,19.7,23.3,77.0,0,20.016
68,23.12,21.2,26.9,9.7,0,23.041999999999998
69,22.88,20.1,28.1,9.5,0,22.933000000000003
70,22.26,19.2,26.9,1.2,0,22.409000000000002
71,22.34,20.0,26.6,0.0,0,21.281
72,22.88,19.9,27.9,12.2,1,28.844
73,22.08,19.1,26.8,0.3,1,32.872
74,21.92,18.6,29.4,22.4,0,20.903000000000002
75,21.92,18.6,25.6,24.2,0,26.275
76,21.24,19.7,24.1,0.0,0,20.167
77,21.78,19.2,27.1,3.2,0,23.628
78,21.64,18.9,28.2,7.4,0,24.213
79,20.88,18.5,25.3,14.7,1,28.631
80,19.7,18.1,22.8,1.7,1,25.855
81,19.88,17.1,23.3,19.2,0,21.406
82,20.98,17.4,26.3,0.0,0,21.616999999999997
83,21.56,17.1,27.9,0.0,0,22.401
84,22.98,18.3,29.8,0.0,0,27.989
85,23.32,18.0,30.8,0.0,0,24.974
86,23.28,19.1,29.5,0.0,1,29.76
87,22.14,20.5,26.6,0.0,1,26.116
88,22.5,19.0,25.9,18.6,0,25.85
89,23.14,20.1,29.0,1.0,0,24.925
90,22.52,19.2,27.5,0.0,0,21.979
91,20.92,18.2,26.2,0.0,0,22.116
92,21.02,16.3,27.2,0.0,0,24.866999999999997
93,22.36,17.9,29.4,0.0,1,33.45
94,22.82,20.1,26.4,0.0,1,32.713
95,21.36,18.5,27.7,0.0,0,22.355999999999998
96,17.38,16.1,20.0,7.1,0,21.004
97,18.68,14.7,24.3,0.4,0,23.362
98,19.4,15.9,25.6,0.0,0,20.298
99,20.46,17.0,25.5,0.0,0,24.862
100,21.74,17.2,28.4,0.0,1,30.505
101,19.92,16.8,25.7,0.0,1,25.07
102,20.88,18.1,25.7,0.0,0,22.62
103,21.7,18.4,28.8,0.0,0,22.000999999999998
104,21.94,18.5,27.4,0.0,0,23.469
105,21.26,18.6,26.7,25.4,0,21.735
106,21.42,18.4,27.0,37.2,0,21.593000000000004
107,23.36,18.2,29.3,0.0,1,33.821999999999996
108,22.5,20.3,27.2,0.0,1,28.028000000000002
109,24.0,19.3,29.2,20.2,0,24.304000000000002
110,22.52,19.3,29.0,0.0,0,31.108
111,20.06,18.9,21.6,2.4,0,19.113
112,21.2,18.6,24.9,14.6,0,23.198
113,22.52,19.3,28.1,0.0,0,24.388
114,19.18,17.4,23.3,0.0,1,27.42
115,19.04,16.1,23.7,0.8,1,30.479
116,19.82,17.5,24.9,0.0,0,21.838
117,20.26,17.2,26.9,0.0,0,20.811999999999998
118,18.66,16.8,22.7,0.0,0,19.761
119,16.22,14.7,18.7,0.0,0,20.452
120,17.34,13.4,22.0,0.0,0,17.939
121,19.26,14.7,26.4,0.0,1,25.272
122,21.04,15.8,26.3,0.0,1,28.049
123,19.96,17.9,22.3,1.0,0,25.316999999999997
124,18.14,16.6,20.8,9.9,0,21.826
125,17.76,15.9,20.4,0.0,0,20.68
126,17.8,15.8,21.7,0.0,0,19.143
127,16.14,13.9,19.2,0.0,0,18.146
128,18.04,13.7,26.1,0.0,1,25.489
129,16.94,13.7,21.0,0.0,1,23.537
130,17.86,15.7,20.6,22.2,0,16.956
131,17.12,14.2,21.7,0.0,0,19.052
132,16.34,14.7,18.9,2.8,0,17.287
133,16.72,14.2,21.0,0.0,0,20.3
134,16.84,13.6,21.5,0.0,0,20.538
135,17.18,13.2,22.3,0.0,1,23.701999999999998
136,18.26,15.4,22.4,0.0,1,28.410999999999998
137,18.6,16.6,21.3,0.0,0,21.073
138,18.64,17.0,22.9,0.0,0,24.215
139,18.74,15.9,23.3,0.2,0,19.525
140,19.46,16.3,25.0,0.0,0,20.785999999999998
141,20.26,16.3,25.4,0.0,0,20.429000000000002
142,19.94,15.9,24.4,0.0,1,27.25
143,21.8,17.9,26.3,0.0,1,31.386999999999997
144,22.06,17.5,27.4,0.0,0,26.075
145,21.28,19.7,24.8,0.0,0,22.162
146,22.94,19.7,27.1,0.0,0,24.258000000000003
147,18.56,16.8,23.2,1.8,0,24.683000000000003
148,17.68,15.3,21.9,7.2,0,21.245
149,17.52,13.1,22.9,0.0,1,25.936999999999998
150,16.28,13.6,18.4,5.6,1,26.081
151,16.28,15.2,18.0,2.2,0,16.227999999999998
152,16.04,15.0,17.5,0.5,0,20.105999999999998
153,17.94,15.0,21.7,0.0,0,21.055
154,18.36,14.6,24.1,0.0,0,22.772
155,18.32,14.1,25.3,0.0,0,25.142
156,19.66,13.8,26.1,0.0,1,31.129
157,20.62,15.9,26.2,0.0,1,30.498
158,20.86,15.2,26.4,0.0,0,26.15
159,20.32,15.2,26.0,0.0,0,21.326999999999998
160,20.54,15.5,26.2,0.0,0,22.008000000000003
161,22.72,17.5,26.9,0.0,0,24.615
162,18.8,16.9,23.5,0.0,0,22.375
163,21.1,15.5,27.4,0.0,1,29.607
164,22.76,18.1,27.3,0.0,1,32.983000000000004
165,16.02,13.1,23.4,0.0,0,19.119
166,14.82,12.1,18.1,9.0,0,21.029
167,19.8,13.9,25.1,0.0,0,23.898000000000003
168,19.88,15.8,26.2,0.0,0,24.534000000000002
169,14.66,13.2,17.7,3.8,0,16.748
170,15.82,12.5,20.4,0.0,1,23.055
171,17.32,12.6,24.6,0.0,1,28.857
172,18.54,13.1,24.6,0.0,0,23.022
173,19.02,14.4,25.5,0.0,0,27.146
174,14.54,13.9,18.0,3.8,0,17.241
175,14.72,12.1,17.4,1.0,0,19.463
176,15.26,12.0,20.9,0.0,0,21.86
177,15.34,10.6,20.8,0.0,1,24.226999999999997
178,15.48,11.2,21.8,0.0,1,27.594
179,17.2,11.0,24.4,0.0,0,24.863000000000003
180,19.36,13.2,25.1,0.0,0,20.160999999999998
181,17.78,16.2,20.5,0.0,0,20.824
182,17.2,15.1,19.9,1.6,0,19.727
183,17.52,15.6,18.4,17.8,0,14.94
184,14.94,10.9,21.0,15.2,1,24.631999999999998
185,12.9,11.0,14.5,4.4,1,21.294
186,15.78,11.3,20.6,0.0,0,18.448
187,16.8,13.3,20.2,0.0,0,21.237
188,17.02,14.9,18.7,4.5,0,19.849
189,17.54,15.3,20.4,0.0,0,20.74
190,19.24,14.0,25.4,0.0,0,25.698
191,17.46,16.0,19.8,0.0,1,26.691
192,20.32,14.0,27.4,3.0,1,33.298
193,22.06,16.7,28.7,0.0,0,25.64
194,23.3,18.4,29.3,0.0,0,23.936999999999998
195,20.18,17.2,27.6,0.0,0,28.741999999999997
196,19.88,16.2,25.8,0.0,0,21.748
197,19.14,15.8,24.3,0.0,0,22.031999999999996
198,20.2,18.2,23.8,0.0,1,24.826999999999998
199,19.98,14.6,25.9,0.0,1,32.473
200,20.56,14.9,25.1,0.0,0,20.62
201,16.72,14.0,21.4,0.0,0,21.825
202,14.52,12.8,16.1,0.0,0,14.343
203,17.02,13.6,20.6,0.0,0,19.029
204,18.46,14.3,25.8,0.0,0,21.104
205,15.9,14.9,17.9,16.6,1,20.738000000000003
206,16.82,13.6,22.9,2.0,1,25.233
207,16.6,11.0,24.2,0.0,0,18.975
208,16.46,11.6,24.5,0.0,0,19.64
209,16.2,11.0,23.8,0.0,0,22.522
210,16.76,11.3,26.7,0.0,0,24.226999999999997
211,19.24,12.8,26.6,0.0,0,24.726
212,19.78,14.3,26.4,0.0,1,32.467
213,20.1,13.8,26.3,0.0,1,31.663
214,21.16,14.9,26.9,0.0,0,25.866999999999997
215,21.04,15.2,27.4,0.0,0,27.724
216,20.96,15.0,27.2,0.0,0,22.039
217,21.06,16.3,27.7,0.0,0,26.127
218,22.08,15.5,28.9,0.0,0,26.58
219,21.16,16.0,27.8,0.0,1,31.31
220,19.62,15.6,26.2,0.0,1,33.516999999999996
221,21.2,15.6,28.0,0.0,0,23.180999999999997
222,19.6,15.2,27.2,0.0,0,24.183000000000003
223,20.12,14.1,26.6,0.0,0,24.594
224,20.42,14.1,28.1,0.0,0,22.61
225,20.86,15.3,27.6,0.0,0,25.479
226,21.44,15.6,27.8,0.0,1,29.621
227,20.56,16.2,27.2,0.0,1,26.272
228,21.58,15.3,28.0,0.0,0,22.541
229,21.3,16.7,26.5,0.0,0,23.07
230,20.74,17.3,28.3,0.0,0,26.021
231,16.2,14.8,19.6,0.0,0,17.655
232,16.84,13.2,22.1,1.0,0,23.243000000000002
233,18.08,14.1,26.2,0.0,1,30.177
234,20.22,13.5,30.0,0.0,1,27.518
235,16.98,15.1,20.5,0.0,0,23.21
236,16.98,14.3,20.5,2.4,0,21.092
237,18.92,14.8,24.0,0.6,0,23.357
238,16.1,13.8,19.8,2.6,0,17.887999999999998
239,16.28,12.8,22.1,25.0,0,22.217
240,18.46,12.2,26.7,0.0,1,31.680999999999997
241,22.52,14.3,32.0,0.0,1,31.833000000000002
242,24.54,16.6,32.2,0.0,0,28.441
243,21.44,17.2,30.7,0.0,0,22.389
244,16.1,14.1,20.2,0.4,0,20.680999999999997
245,19.3,14.8,25.0,0.0,0,24.221999999999998
246,16.66,15.2,19.3,0.0,0,19.345
247,16.12,14.4,18.5,2.4,1,21.826999999999998
248,16.48,13.3,19.9,0.0,1,23.566
249,18.72,13.8,24.4,0.1,0,20.227
250,17.08,15.8,19.2,23.6,0,17.075
251,18.82,15.8,22.9,58.0,0,16.977
252,18.92,13.9,25.6,0.0,0,21.525
253,16.88,14.1,21.8,31.8,0,21.454
254,14.0,12.8,15.6,27.6,1,21.814
255,14.18,12.5,16.1,0.0,1,21.252
256,16.46,13.0,22.5,0.2,0,20.464000000000002
257,21.18,14.4,30.1,0.0,0,30.775
258,25.24,17.2,32.6,0.0,0,25.343000000000004
259,27.26,20.4,33.0,0.0,0,33.93
260,28.06,21.3,34.5,0.0,0,26.311
261,28.0,21.1,35.5,0.0,1,31.836
262,23.6,19.2,33.3,0.0,1,34.695
263,24.72,17.4,32.8,0.0,0,29.829
264,25.7,18.9,33.3,0.0,0,26.362
265,26.14,18.3,34.0,0.0,0,32.589
266,28.3,20.5,35.3,0.0,0,30.345
267,23.24,19.2,30.3,0.0,0,29.410999999999998
268,20.58,18.2,24.9,28.6,1,29.636999999999997
269,22.3,18.2,30.6,1.8,1,32.184
270,21.22,17.5,23.6,27.2,0,17.730999999999998
271,21.8,17.5,27.1,0.0,0,24.114
272,21.52,18.6,27.6,0.0,0,28.034000000000002
273,20.96,17.6,26.4,7.6,0,22.664
274,24.74,19.3,32.7,0.0,0,27.488000000000003
275,20.28,16.1,25.0,25.0,1,24.875999999999998
276,18.6,17.1,21.3,0.2,1,24.862
277,17.36,14.8,22.4,0.0,0,24.679000000000002
278,18.26,14.6,24.7,0.0,0,22.304000000000002
279,24.5,15.9,32.6,0.0,0,30.329
280,26.56,19.3,34.0,0.0,0,33.181999999999995
281,24.52,19.8,29.0,0.0,0,23.849
282,23.06,19.6,28.0,0.3,1,33.33
283,22.48,19.6,30.0,0.0,1,34.496
284,22.76,19.0,29.6,0.0,0,26.249000000000002
285,21.4,18.1,27.6,2.4,0,26.523000000000003
286,23.62,18.2,28.5,0.0,0,26.793000000000003
287,28.12,18.9,35.8,0.0,0,35.861
288,26.24,21.3,35.7,0.0,0,27.386999999999997
289,21.22,17.3,29.2,0.0,1,32.666
290,16.76,15.5,19.2,0.1,1,22.199
291,19.86,15.5,27.2,0.0,0,24.0
292,26.3,17.2,35.3,0.0,0,27.871
293,24.62,21.3,32.0,0.0,0,31.139
294,19.9,17.7,22.8,14.6,0,23.065
295,20.5,17.6,27.3,13.4,0,26.594
296,17.94,16.2,21.2,0.0,1,27.656999999999996
297,17.64,15.7,19.2,0.0,1,26.594
298,20.86,16.0,28.5,28.4,0,28.084
299,22.0,19.1,28.4,0.1,0,27.581999999999997
300,20.42,18.6,23.9,0.0,0,24.862
301,20.56,18.2,24.8,0.0,0,22.634
302,23.86,19.1,31.2,0.0,0,31.649
303,23.18,18.2,29.3,0.0,1,35.781
304,20.22,18.7,22.4,27.2,1,24.429000000000002
305,21.82,18.3,27.2,39.6,0,20.648000000000003
306,21.86,19.5,25.6,3.4,0,22.741
307,21.52,18.6,27.4,6.8,0,21.479
308,21.8,18.2,24.8,39.3,0,23.134
309,19.76,18.0,22.8,0.0,0,20.575
310,18.3,16.8,20.0,1.2,1,24.33
311,20.24,17.4,23.9,0.6,1,28.61
312,22.98,18.7,29.5,4.4,0,28.456
313,23.72,19.4,31.8,10.4,0,27.964000000000002
314,26.2,19.8,32.7,0.0,0,29.569000000000003
315,23.78,20.8,31.8,0.0,0,29.267
316,22.78,19.4,29.6,0.0,0,28.647
317,25.06,19.5,30.4,16.4,1,26.836
318,23.06,19.8,29.7,8.0,1,29.386
319,21.16,19.4,24.9,0.0,0,24.609
320,21.76,17.7,29.7,0.0,0,26.964000000000002
321,25.5,17.6,30.5,14.1,0,23.614
322,26.16,23.3,30.4,0.0,0,22.96
323,23.28,19.6,27.0,6.8,0,20.332
324,19.44,17.2,24.4,7.2,1,30.392
325,22.26,17.1,28.8,0.0,1,31.933000000000003
326,20.8,19.6,23.6,13.6,0,21.662
327,21.36,19.3,22.6,7.0,0,21.689
328,21.26,19.3,24.8,0.4,0,25.119
329,22.28,19.0,27.4,0.0,0,25.285
330,22.28,17.6,28.4,0.0,0,28.979
331,23.7,18.7,29.8,0.0,1,34.382
332,22.38,20.5,26.0,17.4,1,30.616999999999997
333,19.1,16.7,23.3,23.4,0,20.238
334,20.1,16.4,25.8,0.0,0,24.529
335,22.1,18.2,29.4,0.0,0,30.471
336,22.44,20.2,26.1,0.0,0,28.405
337,22.76,19.0,29.1,0.0,0,29.513
338,24.8,19.5,30.6,0.1,1,32.451
339,23.12,20.6,28.0,0.1,1,32.78
340,20.04,18.0,23.9,47.8,0,23.375
341,21.7,18.0,28.0,0.0,0,27.713
342,23.96,19.6,27.9,0.0,0,27.136999999999997
343,24.0,22.2,27.7,0.0,0,22.933000000000003
344,24.04,20.7,30.3,0.0,0,30.74
345,23.92,20.6,30.8,0.0,1,29.579
346,24.54,19.3,31.0,12.2,1,29.188000000000002
347,26.28,21.1,32.5,2.0,0,28.131
348,25.66,20.6,32.8,4.0,0,28.616999999999997
349,22.04,20.7,24.8,1.5,0,21.061999999999998
350,23.32,18.9,28.7,0.0,0,24.337
351,26.42,19.6,33.5,0.1,0,27.041999999999998
352,23.74,19.8,31.3,1.3,1,32.536
353,22.84,19.6,29.0,8.4,1,30.127
354,23.12,19.6,29.1,27.2,0,24.834
355,24.6,19.6,32.4,43.0,0,26.828000000000003
356,27.46,22.1,32.4,3.0,0,26.468000000000004
357,24.72,20.5,31.5,3.4,0,31.572
358,23.58,17.8,31.0,39.0,0,26.308000000000003
359,23.34,17.8,29.8,94.8,1,21.955
360,24.0,21.1,28.2,13.6,1,32.306999999999995
361,22.64,21.1,26.7,0.0,0,26.095
362,21.68,20.3,24.1,10.3,0,22.309
363,21.38,19.3,22.4,6.3,0,20.467
364,24.76,20.2,29.0,0.0,0,22.445999999999998
